,short_name,age,nationality_name,height_cm,weight_kg,overall,value_eur,wage_eur,club_name
28,Bruno Fernandes,26,Portugal,179,69,88,107500000.0,250000.0,Manchester United
29,E. Haaland,20,Norway,194,94,88,137500000.0,110000.0,Borussia Dortmund
30,S. Agüero,33,Argentina,173,70,87,51000000.0,260000.0,FC Barcelona
31,H. Lloris,34,France,188,82,87,13500000.0,125000.0,Tottenham Hotspur
32,L. Modrić,35,Croatia,172,66,87,32000000.0,190000.0,Real Madrid CF
33,Á. Di María,33,Argentina,180,69,87,49500000.0,160000.0,Paris Saint-Germain
34,W. Szczęsny,31,Poland,195,90,87,42000000.0,105000.0,Juventus
35,T. Müller,31,Germany,185,76,87,66000000.0,140000.0,FC Bayern München
36,C. Immobile,31,Italy,185,85,87,67500000.0,125000.0,Lazio
37,P. Pogba,28,France,191,84,87,79500000.0,220000.0,Manchester United
38,M. Verratti,28,Italy,165,60,87,79500000.0,155000.0,Paris Saint-Germain
39,Marquinhos,27,Brazil,183,75,87,90500000.0,135000.0,Paris Saint-Germain
40,L. Goretzka,26,Germany,189,82,87,93000000.0,140000.0,FC Bayern München
41,P. Dybala,27,Argentina,177,75,87,93000000.0,160000.0,Juventus
42,A. Robertson,27,Scotland,178,64,87,83500000.0,175000.0,Liverpool
43,F. de Jong,24,Netherlands,180,74,87,119500000.0,210000.0,FC Barcelona
44,T. Alexander-Arnold,22,England,180,69,87,114000000.0,150000.0,Liverpool
45,J. Sancho,21,England,180,76,87,116500000.0,150000.0,Manchester United
46,Rúben Dias,24,Portugal,187,82,87,102500000.0,170000.0,Manchester City
47,G. Chiellini,36,Italy,187,85,86,12000000.0,88000.0,Juventus
48,S. Handanovič,36,Slovenia,193,92,86,7500000.0,78000.0,Inter
49,M. Hummels,32,Germany,191,96,86,44000000.0,95000.0,Borussia Dortmund
50,Jordi Alba,32,Spain,170,68,86,47000000.0,200000.0,FC Barcelona
51,Thiago,30,Spain,174,70,86,65000000.0,180000.0,Liverpool
52,Sergio Busquets,32,Spain,189,76,86,45000000.0,200000.0,FC Barcelona
53,Parejo,32,Spain,182,74,86,53500000.0,64000.0,Villarreal CF
54,K. Casteels,29,Belgium,197,86,86,52000000.0,88000.0,VfL Wolfsburg
55,L. Insigne,30,Italy,163,59,86,65500000.0,125000.0,Napoli
56,K. Koulibaly,30,Senegal,187,89,86,55500000.0,105000.0,Napoli
57,R. Varane,28,France,191,81,86,68500000.0,180000.0,Manchester United
58,R. Mahrez,30,Algeria,179,67,86,65500000.0,220000.0,Manchester City
59,Gerard Moreno,29,Spain,180,77,86,68000000.0,73000.0,Villarreal CF
60,J. Vardy,34,England,179,74,86,33000000.0,180000.0,Leicester City
61,Fabinho,27,Brazil,188,78,86,73500000.0,165000.0,Liverpool
62,João Cancelo,27,Portugal,182,74,86,71500000.0,185000.0,Manchester City
63,A. Laporte,27,Spain,191,85,86,77000000.0,185000.0,Manchester City
64,K. Coman,25,France,180,76,86,81000000.0,120000.0,FC Bayern München
65,Bernardo Silva,26,Portugal,173,64,86,80000000.0,200000.0,Manchester City
66,Marcos Llorente,26,Spain,184,74,86,88000000.0,95000.0,Atlético de Madrid
67,Rodri,25,Spain,191,82,86,81000000.0,175000.0,Manchester City
68,M. Škriniar,26,Slovakia,188,80,86,74000000.0,150000.0,Inter
69,A. Gómez,33,Argentina,167,68,85,33500000.0,51000.0,Sevilla FC
70,K. Schmeichel,34,Denmark,189,89,85,9000000.0,115000.0,Leicester City
71,Thiago Silva,36,Brazil,183,79,85,9500000.0,105000.0,Chelsea
72,David Silva,35,Spain,173,67,85,22000000.0,44000.0,Real Sociedad
73,Y. Sommer,32,Switzerland,183,79,85,26500000.0,40000.0,Borussia Mönchengladbach
74,E. Cavani,34,Uruguay,185,77,85,26000000.0,190000.0,Manchester United
75,E. Hazard,30,Belgium,175,74,85,52000000.0,240000.0,Real Madrid CF
76,L. Bonucci,34,Italy,190,85,85,17500000.0,110000.0,Juventus
77,P. Gulácsi,31,Hungary,191,86,85,28500000.0,87000.0,RB Leipzig
78,İ. Gündoğan,30,Germany,180,80,85,51500000.0,185000.0,Manchester City
79,M. Reus,32,Germany,180,71,85,43000000.0,95000.0,Borussia Dortmund
80,K. Walker,31,England,183,83,85,39000000.0,170000.0,Manchester City
81,P. Aubameyang,32,Gabon,187,80,85,43500000.0,145000.0,Arsenal
82,Koke,29,Spain,176,75,85,52500000.0,90000.0,Atlético de Madrid
83,A. Griezmann,30,France,176,73,85,53000000.0,220000.0,Atlético de Madrid
84,S. de Vrij,29,Netherlands,189,78,85,45000000.0,145000.0,Inter
85,Roberto Firmino,29,Brazil,181,76,85,54000000.0,185000.0,Liverpool
86,M. Depay,27,Netherlands,176,78,85,63000000.0,220000.0,FC Barcelona
87,Carvajal,29,Spain,173,73,85,47500000.0,210000.0,Real Madrid CF
88,Jorginho,29,Italy,180,68,85,52500000.0,170000.0,Chelsea
89,S. Gnabry,25,Germany,176,77,85,64500000.0,110000.0,FC Bayern München
90,S. Milinković-Savić,26,Serbia,191,76,85,66000000.0,100000.0,Lazio
91,W. Ndidi,24,Nigeria,183,74,85,66500000.0,120000.0,Leicester City
92,Oyarzabal,24,Spain,181,79,85,77500000.0,57000.0,Real Sociedad
93,L. Martínez,23,Argentina,174,72,85,78000000.0,145000.0,Inter
94,M. Rashford,23,England,186,70,85,77500000.0,150000.0,Manchester United
95,A. Hakimi,22,Morocco,181,73,85,69500000.0,100000.0,Paris Saint-Germain
96,M. de Ligt,21,Netherlands,189,89,85,75000000.0,81000.0,Juventus
97,Z. Ibrahimović,39,Sweden,195,95,84,14500000.0,51000.0,AC Milan
98,Jesús Navas,35,Spain,172,60,84,13000000.0,30000.0,Sevilla FC
99,Piqué,34,Spain,194,85,84,13500000.0,175000.0,FC Barcelona
100,D. Mertens,34,Belgium,169,61,84,20500000.0,105000.0,Napoli
101,G. Wijnaldum,30,Netherlands,175,74,84,40500000.0,115000.0,Paris Saint-Germain
102,J. Henderson,31,England,182,80,84,29500000.0,140000.0,Liverpool
103,Fernando,33,Brazil,183,76,84,21000000.0,43000.0,Sevilla FC
104,K. Trippier,30,England,173,69,84,36500000.0,74000.0,Atlético de Madrid
105,Iago Aspas,33,Spain,176,67,84,27000000.0,46000.0,RC Celta de Vigo
106,De Gea,30,Spain,192,82,84,28000000.0,120000.0,Manchester United
107,D. Alaba,29,Austria,180,78,84,35500000.0,195000.0,Real Madrid CF
108,Luis Alberto,28,Spain,183,74,84,42500000.0,95000.0,Lazio
109,D. Tadić,32,Serbia,181,76,84,33500000.0,32000.0,Ajax
110,W. Ben Yedder,30,France,170,68,84,41500000.0,88000.0,AS Monaco
111,L. Digne,27,France,178,74,84,40500000.0,110000.0,Everton
112,J. Iličić,33,Slovenia,190,79,84,27000000.0,84000.0,Atalanta
113,E. Martínez,28,Argentina,195,88,84,33500000.0,81000.0,Aston Villa
114,H. Maguire,28,England,194,100,84,42500000.0,155000.0,Manchester United
115,S. Savić,30,Montenegro,187,80,84,34500000.0,74000.0,Atlético de Madrid
116,M. Sabitzer,27,Austria,178,76,84,48000000.0,110000.0,FC Bayern München
117,L. Shaw,25,England,181,75,84,48500000.0,140000.0,Manchester United
118,J. Grealish,25,England,180,81,84,50500000.0,180000.0,Manchester City
119,M. Ginter,27,Germany,191,86,84,42500000.0,45000.0,Borussia Mönchengladbach
120,Felipe,32,Brazil,190,84,84,27500000.0,74000.0,Atlético de Madrid
121,Y. Carrasco,27,Belgium,185,73,84,45000000.0,81000.0,Atlético de Madrid
122,F. Kostić,28,Serbia,184,82,84,42500000.0,52000.0,Eintracht Frankfurt
123,H. Ziyech,28,Morocco,181,65,84,42500000.0,170000.0,Chelsea
124,R. Guerreiro,27,Portugal,170,71,84,40500000.0,79000.0,Borussia Dortmund
125,Ricardo Pereira,27,Portugal,175,70,84,40500000.0,130000.0,Leicester City
126,T. Werner,25,Germany,180,76,84,56500000.0,155000.0,Chelsea
127,M. Maignan,25,France,191,89,84,49500000.0,45000.0,AC Milan
128,M. Brozović,28,Croatia,181,68,84,37000000.0,130000.0,Inter
129,Y. Tielemans,24,Belgium,176,72,84,57000000.0,125000.0,Leicester City
130,J. Giménez,26,Uruguay,185,79,84,52000000.0,74000.0,Atlético de Madrid
131,N. Fekir,27,France,173,75,84,45000000.0,42000.0,Real Betis Balompié
132,L. Sané,25,Germany,183,80,84,56000000.0,105000.0,FC Bayern München
133,N. Barella,24,Italy,172,68,84,63500000.0,120000.0,Inter
134,M. Acuña,29,Argentina,172,69,84,37000000.0,45000.0,Sevilla FC
135,André Silva,25,Portugal,185,84,84,51000000.0,110000.0,RB Leipzig
136,F. Kessié,24,Côte d'Ivoire,183,88,84,49500000.0,51000.0,AC Milan
137,T. Hernández,23,France,184,81,84,62500000.0,51000.0,AC Milan
138,K. Havertz,22,Germany,188,82,84,94500000.0,130000.0,Chelsea
139,P. Foden,21,England,171,69,84,94500000.0,125000.0,Manchester City
140,Fernandinho,36,Brazil,179,67,83,7000000.0,100000.0,Manchester City
141,C. Vela,32,Mexico,177,77,83,29000000.0,17000.0,Los Angeles FC
142,A. Witsel,32,Belgium,186,81,83,24000000.0,72000.0,Borussia Dortmund
143,Sergio Asenjo,32,Spain,189,87,83,18000000.0,37000.0,Villarreal CF
144,S. Kjær,32,Denmark,190,86,83,23500000.0,54000.0,AC Milan
145,E. Džeko,35,Bosnia and Herzegovina,193,80,83,15500000.0,105000.0,Inter
146,J. Boateng,32,Germany,190,94,83,23500000.0,81000.0,Olympique Lyonnais
147,T. Alderweireld,32,Belgium,186,81,83,,,
148,Azpilicueta,31,Spain,178,77,83,25000000.0,125000.0,Chelsea
149,Paulinho,32,Brazil,183,80,83,28500000.0,61000.0,Al Ahli
150,Muniain,28,Spain,170,66,83,36500000.0,44000.0,Athletic Club de Bilbao
151,Canales,30,Spain,176,65,83,34500000.0,38000.0,Real Betis Balompié
152,L. Hrádecký,31,Finland,192,83,83,19000000.0,55000.0,Bayer 04 Leverkusen
153,Alex Sandro,30,Brazil,180,80,83,31500000.0,95000.0,Juventus
154,B. Leno,29,Germany,190,83,83,28000000.0,87000.0,Arsenal
155,K. Manolas,30,Greece,189,83,83,30000000.0,80000.0,Napoli
156,H. Mkhitaryan,32,Armenia,177,75,83,29500000.0,82000.0,Roma
157,J. Cuadrado,33,Colombia,179,72,83,19000000.0,95000.0,Juventus
158,J. Matip,29,Cameroon,194,90,83,30500000.0,130000.0,Liverpool
159,S. Coates,30,Uruguay,196,92,83,30000000.0,21000.0,Sporting CP
160,F. Acerbi,33,Italy,192,88,83,17500000.0,75000.0,Lazio
161,Allan,30,Brazil,175,74,83,30500000.0,100000.0,Everton
162,K. Volland,28,Germany,179,85,83,37000000.0,83000.0,AS Monaco
163,Morata,28,Spain,190,84,83,37000000.0,84000.0,Juventus
164,M. Icardi,28,Argentina,181,75,83,37000000.0,120000.0,Paris Saint-Germain
165,L. Spinazzola,28,Italy,186,75,83,33000000.0,72000.0,Roma
166,J. Stones,27,England,188,76,83,41000000.0,140000.0,Manchester City
167,N. Pope,29,England,199,76,83,25000000.0,45000.0,Burnley
168,R. Jiménez,30,Mexico,188,81,83,35500000.0,120000.0,Wolverhampton Wanderers
169,J. Pickford,27,England,185,77,83,33000000.0,83000.0,Everton
170,A. Rüdiger,28,Germany,190,85,83,34500000.0,130000.0,Chelsea
171,L. Ocampos,26,Argentina,188,84,83,39500000.0,46000.0,Sevilla FC
172,M. Kovačić,27,Croatia,176,80,83,41500000.0,135000.0,Chelsea
173,T. Partey,28,Ghana,185,77,83,36500000.0,115000.0,Arsenal
174,Gayà,26,Spain,172,66,83,43500000.0,48000.0,Valencia CF
175,T. Lemar,25,France,171,66,83,48000000.0,71000.0,Atlético de Madrid
176,P. Højbjerg,25,Denmark,185,84,83,43500000.0,105000.0,Tottenham Hotspur
177,Á. Correa,26,Argentina,171,70,83,48000000.0,80000.0,Atlético de Madrid
178,D. Zapata,30,Colombia,189,88,83,35500000.0,77000.0,Atalanta
179,A. Kramarić,30,Croatia,177,73,83,35500000.0,59000.0,TSG Hoffenheim
180,Angeliño,24,Spain,175,69,83,46000000.0,77000.0,RB Leipzig
181,L. Hernández,25,France,184,79,83,44500000.0,85000.0,FC Bayern München
182,Marco Asensio,25,Spain,182,76,83,48000000.0,190000.0,Real Madrid CF
183,W. Weghorst,28,Netherlands,197,84,83,37000000.0,95000.0,VfL Wolfsburg
184,R. Gosens,26,Germany,183,76,83,36000000.0,65000.0,Atalanta
185,Merino,25,Spain,189,83,83,50000000.0,47000.0,Real Sociedad
186,P. Kimpembe,25,France,189,80,83,45500000.0,90000.0,Paris Saint-Germain
187,F. Mendy,26,France,180,73,83,43500000.0,170000.0,Real Madrid CF
188,A. Wan-Bissaka,23,England,183,72,83,48500000.0,115000.0,Manchester United
189,Ronaldo Cabrais,29,Brazil,177,75,83,35500000.0,49000.0,Grêmio
190,Arthur,24,Brazil,171,73,83,47000000.0,90000.0,Juventus
191,Gabriel Jesus,24,Brazil,175,73,83,52500000.0,150000.0,Manchester City
192,O. Dembélé,24,France,178,67,83,55000000.0,165000.0,FC Barcelona
193,M. Mount,22,England,178,70,83,58500000.0,120000.0,Chelsea
194,É. Mendy,29,Senegal,197,86,83,30000000.0,105000.0,Chelsea
195,F. Chiesa,23,Italy,175,70,83,80500000.0,74000.0,Juventus
196,F. Valverde,22,Uruguay,182,78,83,58000000.0,160000.0,Real Madrid CF
197,J. Koundé,22,France,181,75,83,53000000.0,33000.0,Sevilla FC
198,João Félix,21,Portugal,181,72,83,82000000.0,61000.0,Atlético de Madrid
199,Pepe,38,Portugal,188,80,82,5500000.0,14000.0,FC Porto
200,Raúl Albiol,35,Spain,190,82,82,8000000.0,30000.0,Villarreal CF
201,Ł. Fabiański,36,Poland,190,83,82,3400000.0,43000.0,West Ham United
202,S. Sirigu,34,Italy,192,85,82,5000000.0,20000.0,Genoa
203,I. Rakitić,33,Croatia,184,78,82,18500000.0,39000.0,Sevilla FC
204,G. Bale,31,Wales,185,82,82,25000000.0,170000.0,Real Madrid CF
205,Rui Patrício,33,Portugal,190,84,82,10000000.0,51000.0,Roma
206,É. Banega,33,Argentina,174,75,82,15000000.0,46000.0,Al Shabab
207,M. Pjanić,31,Bosnia and Herzegovina,178,72,82,25000000.0,155000.0,Beşiktaş JK
208,Yuri Berchiche,31,Spain,181,80,82,22000000.0,35000.0,Athletic Club de Bilbao
209,L. Stindl,32,Germany,181,80,82,24000000.0,41000.0,Borussia Mönchengladbach
210,Oscar,29,Brazil,179,70,82,30000000.0,38000.0,Shanghai Port FC
211,K. Trapp,30,Germany,189,88,82,20500000.0,31000.0,Eintracht Frankfurt
212,Coutinho,29,Brazil,172,68,82,30000000.0,165000.0,FC Barcelona
213,C. Eriksen,29,Denmark,181,76,82,29500000.0,120000.0,Inter
214,D. Blind,31,Netherlands,180,72,82,21000000.0,23000.0,Ajax
215,M. Götze,29,Germany,177,71,82,30000000.0,29000.0,PSV
216,A. Areola,28,France,195,94,82,26000000.0,75000.0,West Ham United
217,J. Corona,28,Mexico,173,66,82,30500000.0,22000.0,FC Porto
218,A. Lacazette,30,France,175,73,82,30000000.0,110000.0,Arsenal
219,I. Gueye,31,Senegal,174,66,82,21500000.0,88000.0,Paris Saint-Germain
220,Mário Fernandes,30,Russia,187,80,82,26500000.0,57000.0,PFC CSKA Moscow
221,O. Baumann,31,Germany,187,82,82,16000000.0,37000.0,TSG Hoffenheim
222,Neto,31,Brazil,190,84,82,16000000.0,115000.0,FC Barcelona
223,Isco,29,Spain,176,79,82,30000000.0,175000.0,Real Madrid CF
224,W. Zaha,28,Côte d'Ivoire,180,66,82,31000000.0,85000.0,Crystal Palace
225,L. Muriel,30,Colombia,179,79,82,30000000.0,70000.0,Atalanta
226,A. Lopes,30,Portugal,184,81,82,23000000.0,60000.0,Olympique Lyonnais
227,Campaña,28,Spain,179,70,82,30500000.0,43000.0,Levante Unión Deportiva
228,Gabriel Paulista,30,Brazil,185,72,82,25000000.0,44000.0,Valencia CF
229,J. Veretout,28,France,177,67,82,29500000.0,66000.0,Roma
230,Suso,27,Spain,176,70,82,32500000.0,42000.0,Sevilla FC
231,T. Hazard,28,Belgium,175,71,82,30500000.0,75000.0,Borussia Dortmund
232,Juan Bernat,28,Spain,170,67,82,27500000.0,90000.0,Paris Saint-Germain
233,Portu,29,Spain,167,66,82,30000000.0,51000.0,Real Sociedad
234,H. Çalhanoğlu,27,Turkey,178,76,82,35000000.0,115000.0,Inter
235,E. Can,27,Germany,186,86,82,35000000.0,72000.0,Borussia Dortmund
236,Saúl,26,Spain,184,75,82,39500000.0,68000.0,Chelsea
237,M. de Roon,30,Netherlands,185,76,82,25500000.0,59000.0,Atalanta
238,Y. Bounou,30,Morocco,192,78,82,20500000.0,29000.0,Sevilla FC
239,Grimaldo,25,Spain,171,69,82,37000000.0,18000.0,SL Benfica
240,A. Romagnoli,26,Italy,185,75,82,31500000.0,49000.0,AC Milan
241,D. Berardi,26,Italy,183,72,82,33500000.0,51000.0,U.S. Sassuolo Calcio
242,N. Tagliafico,28,Argentina,172,65,82,27500000.0,24000.0,Ajax
243,P. Gollini,26,Italy,194,94,82,35000000.0,48000.0,Tottenham Hotspur
244,N. Süle,25,Germany,195,99,82,40500000.0,78000.0,FC Bayern München
245,Alex Telles,28,Brazil,181,71,82,27500000.0,130000.0,Manchester United
246,Anderson Talisca,27,Brazil,190,80,82,35500000.0,61000.0,Al Nassr
247,R. De Paul,27,Argentina,180,70,82,35000000.0,68000.0,Atlético de Madrid
248,Rafa,28,Portugal,170,63,82,30500000.0,22000.0,SL Benfica
249,Diego Carlos,28,Brazil,185,86,82,30500000.0,37000.0,Sevilla FC
250,A. Rebić,27,Croatia,185,78,82,32500000.0,54000.0,AC Milan
251,C. Lenglet,26,France,186,81,82,37500000.0,145000.0,FC Barcelona
252,J. Maddison,24,England,175,73,82,41500000.0,100000.0,Leicester City
253,M. Locatelli,23,Italy,185,75,82,42000000.0,74000.0,Juventus
254,M. Ødegaard,22,Norway,178,68,82,49000000.0,89000.0,Arsenal
255,Rúben Neves,24,Portugal,180,80,82,46000000.0,89000.0,Wolverhampton Wanderers
256,Diogo Jota,24,Portugal,178,73,82,46000000.0,120000.0,Liverpool
257,J. Gomez,24,England,188,77,82,43500000.0,100000.0,Liverpool
258,Fabián,25,Spain,189,70,82,42000000.0,77000.0,Napoli
259,C. Pulisic,22,United States,177,69,82,49000000.0,120000.0,Chelsea
260,Palhinha,25,Portugal,190,82,82,41000000.0,18000.0,Sporting CP
261,D. Upamecano,22,France,186,90,82,64000000.0,70000.0,FC Bayern München
262,Mario Hermoso,26,Spain,185,76,82,35500000.0,62000.0,Atlético de Madrid
263,L. Bailey,23,Jamaica,178,77,82,41500000.0,75000.0,Aston Villa
264,B. Chilwell,24,England,178,77,82,40500000.0,100000.0,Chelsea
265,Raphaelinho Anjos,33,Brazil,190,85,82,10000000.0,20000.0,RB Bragantino
266,Josué Chiamulera,29,Brazil,185,80,82,25500000.0,41000.0,Grêmio
267,Unai Simón,24,Spain,190,89,82,34500000.0,24000.0,Athletic Club de Bilbao
268,Richarlison,24,Brazil,181,71,82,46500000.0,100000.0,Everton
269,C. Romero,23,Argentina,185,79,82,41500000.0,51000.0,Tottenham Hotspur
270,D. Dumfries,25,Netherlands,188,80,82,35000000.0,100000.0,Inter
271,Raphinha,24,Brazil,176,68,82,46000000.0,89000.0,Leeds United
272,A. Isak,21,Sweden,192,77,82,45000000.0,37000.0,Real Sociedad
273,D. Rice,22,England,185,80,82,43000000.0,69000.0,West Ham United
274,A. Davies,20,Canada,183,75,82,57000000.0,59000.0,FC Bayern München
275,F. Neuhaus,24,Germany,185,74,82,46000000.0,36000.0,Borussia Mönchengladbach
276,Y. En-Nesyri,24,Morocco,188,78,82,44000000.0,37000.0,Sevilla FC
277,T. Ndombele,24,France,179,76,82,46000000.0,95000.0,Tottenham Hotspur
278,T. Souček,26,Czech Republic,192,86,82,36000000.0,81000.0,West Ham United
279,Éder Militão,23,Brazil,186,78,82,56500000.0,130000.0,Real Madrid CF
280,Ferran Torres,21,Spain,184,77,82,68500000.0,120000.0,Manchester City
281,Pau Torres,24,Spain,191,80,82,56500000.0,35000.0,Villarreal CF
282,D. Livaković,26,Croatia,187,79,82,35000000.0,1000.0,Dinamo Zagreb
283,Dani Olmo,23,Spain,179,72,82,46000000.0,78000.0,RB Leipzig
284,Joaquín,39,Spain,179,75,81,8500000.0,23000.0,Real Betis Balompié
285,B. Yılmaz,35,Turkey,188,77,81,11000000.0,39000.0,LOSC Lille
286,Nani,34,Portugal,177,70,81,12000000.0,14000.0,Orlando City Soccer Club
287,A. Gignac,35,France,189,85,81,11000000.0,50000.0,Tigres U.A.N.L.
288,H. Herrera,31,Mexico,185,78,81,21000000.0,63000.0,Atlético de Madrid
289,A. Consigli,34,Italy,189,82,81,4400000.0,32000.0,U.S. Sassuolo Calcio
290,S. Mandanda,36,France,185,82,81,2900000.0,24000.0,Olympique de Marseille
291,G. Higuaín,33,Argentina,186,89,81,16500000.0,14000.0,Inter Miami CF
292,José Fonte,37,Portugal,191,84,81,4600000.0,30000.0,LOSC Lille
293,J. Vertonghen,34,Belgium,189,86,81,8500000.0,18000.0,SL Benfica
294,Lucas Leiva,34,Brazil,179,78,81,9000000.0,64000.0,Lazio
295,Adán,34,Spain,190,86,81,4400000.0,14000.0,Sporting CP
296,I. Perišić,32,Croatia,186,80,81,20500000.0,105000.0,Inter
297,A. Vidal,34,Chile,180,75,81,12000000.0,105000.0,Inter
298,M. Kruse,33,Germany,180,76,81,16500000.0,45000.0,1. FC Union Berlin
299,M. Arnautović,32,Austria,192,83,81,21000000.0,48000.0,Bologna
300,Marlos,33,Ukraine,174,76,81,16000000.0,2000.0,Shakhtar Donetsk
301,B. André,30,France,180,74,81,21500000.0,43000.0,LOSC Lille
302,N. Otamendi,33,Argentina,183,76,81,12500000.0,18000.0,SL Benfica
303,T. Delaney,29,Denmark,182,79,81,22000000.0,34000.0,Sevilla FC
304,Aitor,30,Spain,182,78,81,17000000.0,28000.0,Levante Unión Deportiva
305,A. Delort,29,Algeria,181,83,81,25500000.0,49000.0,OGC Nice
306,K. Kampl,30,Slovenia,178,66,81,24500000.0,83000.0,RB Leipzig
307,D. Ings,28,England,178,73,81,26500000.0,90000.0,Aston Villa
308,Pizzi,31,Portugal,177,72,81,21000000.0,19000.0,SL Benfica
309,Jonathan Viera,31,Spain,171,67,81,21500000.0,15000.0,Unión Deportiva Las Palmas
310,J. Rodríguez,29,Colombia,180,75,81,25500000.0,105000.0,Everton
311,Danilo,29,Brazil,184,78,81,22500000.0,83000.0,Juventus
312,Sergi Roberto,29,Spain,178,68,81,22500000.0,140000.0,FC Barcelona
313,J. Cillessen,32,Netherlands,185,83,81,13000000.0,33000.0,Valencia CF
314,S. Berghuis,29,Netherlands,182,75,81,25500000.0,26000.0,Ajax
315,Paco Alcácer,27,Spain,175,70,81,28000000.0,45000.0,Villarreal CF
316,Nacho Fernández,31,Spain,180,76,81,17500000.0,140000.0,Real Madrid CF
317,Danilo Pereira,29,Portugal,188,83,81,22000000.0,85000.0,Paris Saint-Germain
318,Lucas Moura,28,Brazil,174,70,81,26000000.0,105000.0,Tottenham Hotspur
319,A. Marchesín,33,Argentina,188,84,81,8500000.0,14000.0,FC Porto
320,J. Tarkowski,28,England,188,81,81,24500000.0,46000.0,Burnley
321,A. Florenzi,30,Italy,173,67,81,22000000.0,58000.0,AC Milan
322,T. Vaclík,32,Czech Republic,188,85,81,13000000.0,2000.0,Olympiacos CFP
323,K. Zouma,26,France,190,95,81,30000000.0,75000.0,West Ham United
324,Iñigo Martínez,30,Spain,182,77,81,21000000.0,33000.0,Athletic Club de Bilbao
325,W. Orban,28,Hungary,186,87,81,24500000.0,79000.0,RB Leipzig
326,A. Milik,27,Poland,186,78,81,30000000.0,81000.0,Olympique de Marseille
327,J. Ward-Prowse,26,England,173,66,81,33500000.0,69000.0,Southampton
328,A. Cragno,27,Italy,184,78,81,23500000.0,32000.0,Cagliari
329,E. Višća,31,Bosnia and Herzegovina,172,63,81,21500000.0,50000.0,İstanbul Başakşehir FK
330,M. Arnold,27,Germany,184,74,81,26500000.0,66000.0,VfL Wolfsburg
331,L. Paredes,27,Argentina,180,75,81,28000000.0,81000.0,Paris Saint-Germain
332,A. Januzaj,26,Belgium,186,76,81,28000000.0,45000.0,Real Sociedad
333,E. Forsberg,29,Sweden,177,76,81,25500000.0,87000.0,RB Leipzig
334,A. Belotti,27,Italy,181,84,81,30000000.0,61000.0,Torino F.C.
335,Lucas Vázquez,30,Spain,173,70,81,25000000.0,170000.0,Real Madrid CF
336,Fred,28,Brazil,169,62,81,22500000.0,120000.0,Manchester United
337,A. Rabiot,26,France,192,80,81,30000000.0,87000.0,Juventus
338,Rui Silva,27,Portugal,191,91,81,25500000.0,24000.0,Real Betis Balompié
339,P. Zieliński,27,Poland,180,75,81,29500000.0,74000.0,Napoli
340,Otávio,26,Portugal,172,71,81,30500000.0,19000.0,FC Porto
341,D. Machís,28,Venezuela,174,74,81,26000000.0,34000.0,Granada CF
342,A. Martial,25,France,184,76,81,34500000.0,130000.0,Manchester United
343,O. Vlachodimos,27,Greece,191,78,81,23500000.0,14000.0,SL Benfica
